transactionAmount,deviceNew,unusualLocation,failedAttempts,transactionsLastHour,accountAgeDays,fraud
47453.24,0,1,1,2,1008,0
98012.89,0,0,0,4,762,0
34310.55,0,1,1,2,1135,0
20810.17,1,0,0,4,517,0
54348.16,0,1,2,3,977,1
46731.53,0,1,2,4,1240,1
60614.95,1,0,2,6,941,1
84712.19,1,0,2,2,480,0
3151.89,1,0,2,5,794,0
29532.48,0,0,2,6,1289,0
28105.41,0,0,0,4,83,0
30026.61,0,0,2,1,111,0
86353.74,0,0,0,1,1255,0
22680.3,0,1,1,3,1470,1
82161.06,0,0,1,2,1054,0
14373.31,1,0,1,2,1465,1
51161.8,0,0,1,1,325,0
8363.27,1,1,0,6,691,1
68733.22,0,0,2,6,533,1
63470.54,1,0,1,2,227,1
5330.27,1,0,2,4,1197,0
39533.96,1,0,2,3,235,1
5903.39,0,0,0,1,1126,0
2030.83,0,0,1,2,171,0
4261.52,0,0,1,1,175,0
12108.7,0,0,0,4,555,0
54883.37,1,0,2,2,616,1
22900.71,0,0,1,3,608,0
64494.66,0,0,0,5,461,0
63631.88,0,0,0,3,559,0
69030.97,0,1,1,0,946,1
76132.72,0,1,4,2,1117,1
89777.7,0,0,2,2,1276,0
71201.11,1,0,0,2,886,1
1517.59,1,0,0,7,833,0
78156.75,1,0,3,3,170,1
84819.4,0,0,1,2,1289,1
99009.63,1,0,1,2,1383,1
35776.4,1,0,1,2,1428,1
50645.19,0,0,0,2,733,0
71944.07,0,0,0,3,154,0
42002.85,1,0,1,2,615,1
63640.64,0,0,2,1,1188,0
77135.17,0,0,2,1,254,0
53248.97,0,0,0,2,1109,0
23118.62,0,0,1,5,537,1
27216.71,0,0,2,3,938,0
16815.4,1,0,1,2,153,1
56053.16,1,0,0,3,1447,1
92107.35,0,0,1,3,1332,1
11975.55,1,0,1,3,1476,0
2616.82,1,0,2,5,193,1
48278.21,0,1,2,6,840,1
62524.92,0,1,1,1,113,1
39129.14,0,0,2,3,19,1
7303.9,0,0,3,7,202,1
97070.59,0,0,2,2,778,0
74042.12,0,0,1,3,553,1
59944.55,0,0,0,0,1158,0
67635.03,0,0,0,4,266,0
21387.19,1,0,2,1,301,1
25384.84,0,1,1,3,370,0
32771.76,1,0,3,4,212,1
65434.01,1,0,1,1,299,1
6346.38,0,0,2,7,833,0
98767.19,0,0,1,5,1211,1
63061.7,0,0,1,2,63,1
44447.55,0,0,1,2,823,0
1248.1,0,1,0,8,140,0
51549.07,0,0,0,6,1386,1
23255.18,0,1,0,5,414,1
61093.62,0,0,0,2,1425,0
86310.94,0,0,0,5,1020,1
11929.66,0,0,0,2,1406,0
61668.42,0,0,1,3,141,0
63178.75,0,0,1,1,1306,0
11517.15,1,0,3,4,794,1
1096.88,0,0,3,3,962,0
48486.01,0,0,1,2,518,0
54221.92,1,0,1,5,3,1
37316.07,0,0,1,2,1259,0
84248.32,0,0,0,1,1160,0
54848.43,0,0,2,3,895,0
75022.78,1,0,2,3,1293,0
38682.58,0,0,3,3,371,0
65985.13,1,0,1,4,1402,1
65505.44,1,0,2,5,575,1
41582.57,1,1,3,3,77,1
84502.65,0,0,0,2,799,0
67458.46,0,0,1,5,508,1
23278.62,0,0,2,8,683,1
13929.71,0,0,1,4,1137,0
93999.19,0,1,1,4,571,1
64899.03,0,0,2,4,1428,0
2594.13,0,0,1,7,876,0
5293.74,0,0,0,7,1205,0
88469.87,0,0,0,5,380,1
97536.78,1,1,1,1,364,1
47547.6,0,1,0,3,584,0
27909.01,1,0,0,1,39,1
35434.3,0,1,0,4,790,0
30311.71,0,1,0,2,1379,1
17506.92,1,0,2,2,1113,0
66754.51,1,1,0,5,1106,1
65639.9,0,0,1,3,224,1
19722.28,1,0,1,3,845,0
14208.23,0,0,0,1,738,0
60424.71,0,0,1,5,308,1
22128.38,0,1,0,1,639,0
5446.09,0,0,0,2,1352,0
4101.91,0,0,0,4,1026,0
51340.92,0,1,1,3,849,1
61551.4,1,0,1,0,417,0
92845.51,1,0,1,4,1214,1
61116.0,0,0,2,5,493,0
52521.09,1,0,0,0,1139,1
4245.77,0,0,1,4,177,0
96339.7,0,0,3,1,796,1
34404.33,1,1,0,2,137,1
71042.25,0,0,2,0,630,0
75142.6,1,0,3,0,460,1
25020.87,0,1,0,3,1270,1
18544.78,0,0,1,4,948,0
63260.59,0,0,0,0,1388,0
65900.27,1,1,2,2,503,1
78020.83,0,0,0,2,752,0
70000.55,0,1,0,5,606,1
96975.39,0,0,0,1,1463,0
98944.23,0,0,3,3,602,1
83475.64,0,1,1,3,415,1
93262.23,0,1,1,0,1029,1
25052.24,0,0,0,3,1423,0
93854.37,0,0,0,5,363,0
44467.11,1,0,1,2,732,0
15712.74,0,0,1,3,962,0
93436.98,1,0,1,6,453,1
94323.16,0,0,2,2,1226,0
32588.6,0,0,0,7,150,0
26666.25,1,0,2,2,1107,0
42042.88,0,1,1,5,639,1
66205.7,0,0,0,0,405,0
30529.78,0,0,0,0,978,0
4035.24,0,0,0,1,1388,0
24862.55,0,0,1,1,591,0
90433.9,0,0,0,4,981,0
9082.63,0,0,1,4,797,0
39517.77,0,0,2,1,838,0
40830.81,0,0,2,4,1391,0
23076.38,0,0,3,2,278,0
27137.33,0,1,0,7,187,1
42805.9,0,0,1,5,306,1
47147.91,0,0,3,1,1320,1
96385.93,0,0,3,0,1120,1
69266.2,0,0,1,1,185,0
4595.18,0,0,2,1,505,0
2882.44,0,0,1,3,524,0
16673.51,0,0,2,8,1120,0
67995.35,1,0,0,2,1128,1
44292.42,0,0,2,3,556,0
10433.07,0,0,1,0,1311,0
55480.23,0,0,4,4,72,1
31560.35,0,0,2,5,706,1
68250.95,0,0,1,7,653,1
76773.13,0,0,1,3,299,0
77174.05,0,1,2,0,1066,0
4253.74,0,0,0,6,267,0
99656.91,0,0,0,9,7,1
41286.74,1,0,0,3,1491,1
16688.65,0,0,0,3,1241,0
38788.71,0,0,1,5,391,1
11209.75,1,0,0,1,644,0
5950.67,0,0,2,2,1307,0
14921.2,0,1,2,3,542,1
47736.2,0,1,1,4,582,1
80188.26,0,0,1,4,1270,1
81457.24,0,0,1,1,259,1
45987.21,1,1,1,2,1122,1
55513.23,1,0,2,4,265,1
81978.99,1,0,0,4,1411,1
20309.17,0,0,1,3,597,0
55373.73,0,1,0,1,327,1
4502.18,0,0,1,3,12,0
79668.79,1,0,0,1,965,0
14341.4,0,0,0,0,1465,0
33181.53,1,0,2,1,922,1
72892.76,0,0,0,1,367,0
58810.93,0,0,1,7,705,1
97824.24,0,0,0,6,410,0
65262.28,0,0,1,1,419,0
13387.68,0,1,3,3,1182,0
35050.45,0,0,0,2,1327,0
35547.7,1,0,0,6,101,0
6186.78,0,0,0,3,1099,0
94153.28,0,0,0,5,429,1
12257.36,0,0,2,2,481,0
19944.59,0,0,1,2,551,0
77289.83,0,0,0,4,154,0
2111.77,0,1,1,7,1390,1
13849.21,0,1,0,2,73,0
31328.54,0,0,3,5,1154,0
42875.58,0,0,0,1,852,0
23299.25,0,0,0,6,870,0
2654.42,1,1,0,2,595,0
30316.39,1,1,1,5,1407,1
31275.2,1,1,0,6,1083,1
98657.66,0,0,2,4,1111,1
83660.58,0,0,2,4,116,0
70592.98,1,0,0,2,1359,1
35044.63,1,0,3,5,79,1
34474.75,0,0,2,2,1233,0
86930.57,0,0,1,4,503,0
51336.19,0,0,3,1,709,0
10629.99,0,0,0,6,1156,0
34948.31,0,0,1,0,318,0
5477.67,0,0,1,4,919,0
3269.08,0,0,1,4,882,0
70666.56,0,0,1,3,1089,0
13788.39,0,0,1,2,459,0
49346.4,0,0,1,2,985,0
91589.18,0,0,0,0,1138,0
82142.89,0,0,1,3,848,1
83658.45,0,0,3,6,1105,1
79664.41,0,0,0,1,902,0
4077.16,0,1,1,0,621,0
11670.73,0,0,2,5,681,0
88758.15,0,1,0,3,583,0
68912.17,0,0,2,6,187,0
18097.85,0,1,0,1,447,0
85380.09,0,0,0,2,609,0
91091.54,0,0,0,2,368,0
71498.1,0,0,0,3,557,0
37271.02,1,0,4,2,531,1
48789.71,0,0,2,4,643,0
84862.33,0,0,3,2,1290,1
38807.9,0,0,1,2,1358,0
74886.01,0,0,3,4,610,1
51145.98,0,0,0,2,304,0
15399.14,0,0,3,2,1216,0
10904.69,1,0,0,3,565,0
77702.16,1,0,1,3,529,1
74826.81,1,0,2,2,119,1
5377.39,0,0,0,3,106,0
89845.69,0,0,0,2,1291,0
60286.67,0,0,0,3,477,0
50717.91,1,0,1,2,905,1
73739.53,0,0,0,1,1075,0
48553.3,0,1,1,2,732,1
83763.5,0,0,2,2,180,0
38350.03,0,0,1,1,596,0
57803.55,0,0,0,1,906,0
99327.19,1,0,1,4,1275,1
31872.16,1,0,2,2,90,1
10326.47,1,1,2,1,282,0
34651.3,0,0,1,3,366,0
20259.32,1,0,1,3,26,1
99551.55,0,0,2,6,357,1
3835.96,0,0,2,3,570,0
93824.3,0,0,3,2,182,1
30518.59,1,0,2,5,226,1
39436.14,0,0,1,1,746,0
66407.9,0,1,2,0,1470,1
41991.53,0,0,1,2,927,0
31140.46,0,1,1,4,926,0
69746.91,0,1,1,3,1270,1
5555.57,1,0,0,3,62,0
71566.56,1,0,0,1,325,1
45727.39,0,0,1,3,881,0
18511.71,0,0,1,3,1330,0
76212.8,1,0,1,7,916,1
89055.05,0,0,0,6,1177,1
51094.97,0,0,0,5,849,1
93770.21,0,0,3,5,1105,1
9788.18,0,0,0,2,14,0
9146.89,0,0,2,1,1289,0
48468.89,1,0,0,2,641,0
14440.12,0,0,2,4,1186,0
9335.71,0,0,1,6,1228,0
17385.08,0,0,0,2,1159,0
49152.87,0,0,0,5,318,1
85009.65,0,0,0,4,326,0
46086.87,0,0,1,2,1400,0
9047.65,0,0,2,4,324,0
6896.93,0,0,2,4,770,0
40977.34,0,0,1,6,693,1
53194.78,0,0,1,0,517,0
72249.39,0,0,1,0,1261,0
31092.5,0,0,0,2,395,0
30481.97,0,0,2,0,49,0
45890.51,0,0,1,3,688,0
22110.71,0,0,1,4,660,0
7620.34,0,0,0,1,550,0
82132.13,1,0,1,4,1016,1
93074.16,0,0,4,3,671,1
76810.85,1,0,0,1,960,0
85847.21,0,0,1,7,1370,0
26887.51,0,0,1,5,438,0
50153.92,0,0,1,3,1014,0
76027.49,0,1,1,2,502,1
18904.4,0,0,2,0,678,0
99832.04,0,0,3,7,1097,1
96276.99,0,0,0,6,805,1
95035.67,0,0,1,4,960,0
91492.01,0,0,2,2,912,0
35142.68,1,0,2,0,1127,0
5638.98,1,0,0,3,455,0
54612.3,0,0,1,2,439,1
42352.06,1,0,0,2,68,0
82164.98,0,0,1,3,785,0
56992.78,1,1,0,7,211,1
81729.0,0,0,0,1,506,0
94081.01,0,1,1,1,697,1
16339.86,0,0,2,1,1255,0
65262.88,0,0,0,0,954,0
81985.73,1,0,0,5,927,1
6270.06,0,0,0,2,905,0
98140.2,0,0,0,3,809,0
72774.96,1,0,0,1,1354,0
17478.97,0,0,0,5,811,0
89113.07,1,0,0,3,556,0
23723.84,0,0,0,5,719,1
69010.15,1,0,1,3,229,0
23378.59,1,0,0,4,269,1
54169.7,0,0,0,4,1393,0
90454.84,0,0,2,2,1270,0
53352.22,0,0,0,1,653,0
18244.98,0,0,3,1,632,0
35939.7,0,0,1,5,29,1
7954.81,0,0,2,2,1014,0
20759.09,1,0,0,4,1256,1
16050.67,1,0,0,4,1429,0
14016.3,0,0,0,3,231,0
20171.04,1,1,0,1,1009,1
96496.37,0,0,2,2,1026,0
82283.48,0,0,1,1,1410,0
21098.18,0,1,2,2,261,1
26696.53,0,0,2,5,717,0
85629.75,0,0,0,3,700,0
78912.5,0,0,0,4,60,0
45183.39,0,0,2,2,186,0
39479.63,1,0,1,4,17,1
90843.89,0,0,3,3,1031,1
54456.45,0,0,2,2,404,0
7754.58,0,0,1,7,767,0
31990.61,1,0,0,1,496,1
58369.29,0,0,0,3,916,0
52854.0,0,0,1,3,415,0
20151.21,1,0,0,3,59,0
46690.82,0,0,2,5,935,1
18815.94,0,0,1,2,818,0
88885.78,0,0,0,4,849,0
51242.67,0,0,0,2,647,0
39012.65,0,0,0,1,856,0
64316.38,1,1,1,2,668,1
226.68,1,0,0,7,1499,0
10573.09,0,0,1,4,1486,0
95594.73,0,0,1,0,876,1
37932.47,1,0,4,4,234,1
9233.48,0,1,0,1,324,0
61996.3,0,1,0,2,105,1
90312.48,0,1,0,9,1030,1
82704.1,0,0,1,5,1443,0
71815.27,1,0,0,3,1032,1
63155.69,0,0,1,6,444,1
56238.62,0,0,2,1,1416,1
95079.4,0,0,0,0,1035,0
26799.14,0,0,0,4,1204,0
82469.26,0,0,0,3,396,0
14965.99,1,0,3,5,223,1
6104.84,1,0,0,6,822,0
53052.23,0,0,1,4,977,0
63412.03,0,0,2,7,166,1
29994.92,0,0,0,1,688,0
91550.08,1,0,2,2,210,1
78462.13,0,0,1,1,582,0
55315.12,0,0,1,0,1403,0
19900.81,0,1,1,2,890,0
32097.84,1,0,1,0,1442,0
69141.48,1,1,1,5,267,1
96897.55,0,1,1,2,594,1
40640.63,1,0,0,3,1162,0
23897.12,0,0,1,3,967,0
1095.93,0,1,4,6,527,1
73748.2,0,0,4,1,229,1
90172.96,1,0,0,4,1350,0
96736.08,0,0,0,2,92,0
31797.17,0,0,0,0,799,0
5388.3,1,1,0,2,1030,0
56055.59,0,0,1,2,1168,0
6094.82,0,1,1,5,730,1
35689.36,0,0,1,2,477,0
44690.82,0,1,0,4,972,0
86967.16,1,0,0,2,1149,1
20167.63,0,0,4,1,1010,0
41260.57,0,0,1,3,700,0
22750.75,0,0,0,3,1081,0
8968.45,1,0,0,2,606,0
29688.06,0,0,0,5,1310,0
64671.87,1,0,2,2,422,1
23395.44,1,0,1,3,1211,0
41584.62,0,0,1,3,376,0
37957.7,0,0,3,2,150,0
13132.1,0,0,1,5,192,1
33802.17,0,1,2,3,1426,0
44246.59,0,0,3,5,320,1
8737.1,0,0,3,1,582,0
97255.0,0,0,1,2,446,1
60380.08,1,0,0,2,769,1
50363.04,0,0,4,3,592,1
25540.7,1,0,0,2,992,0
43381.77,1,0,1,2,1044,0
50917.53,0,0,3,4,1130,1
96223.37,0,1,1,3,1163,1
96805.41,1,0,0,2,759,1
59941.2,0,0,3,4,666,1
87295.74,1,0,0,3,1443,1
73310.55,0,0,0,2,378,0
76746.62,0,0,3,2,1277,1
47757.12,1,0,1,2,1305,1
20037.2,0,0,0,1,913,0
37780.16,1,0,0,6,94,0
4941.58,0,0,1,4,551,0
12962.57,1,0,0,6,352,1
88235.28,0,0,2,2,596,0
54122.49,0,0,2,3,606,0
66080.93,0,0,1,5,1337,1
50918.32,0,0,0,2,272,0
85476.44,1,0,1,5,795,1
36933.42,0,0,0,3,329,0
28039.42,0,0,1,1,1076,0
74027.78,0,1,1,2,664,1
66704.21,0,0,1,4,268,0
50626.71,0,1,0,4,837,1
92994.06,0,0,0,7,1176,1
33847.92,0,0,2,0,910,0
50418.81,0,0,1,4,1404,1
59053.73,0,0,0,4,1253,0
4461.73,0,1,0,3,1055,0
66443.66,0,1,1,2,101,0
80457.0,0,0,2,4,1009,0
17317.69,1,1,1,1,747,0
62663.3,0,0,1,5,365,1
30688.97,0,0,0,5,468,0
41152.2,0,0,1,3,13,0
34691.98,1,0,0,4,1068,1
31549.03,0,0,1,1,712,0
48691.86,0,0,2,4,1358,0
29405.53,0,0,1,4,681,0
56618.16,0,1,2,1,1366,1
85861.18,0,0,0,1,124,0
88772.07,0,0,1,3,1380,0
28522.74,0,0,1,5,1361,1
4483.72,0,0,0,2,568,0
8057.43,0,0,2,1,938,0
87513.37,0,0,2,1,1441,0
82501.23,1,1,2,2,257,1
97828.72,0,0,0,2,420,0
67030.0,0,0,1,2,417,0
36322.06,0,1,0,4,601,0
20863.59,1,0,1,2,237,1
8162.77,1,0,1,4,17,1
26850.65,0,0,2,0,644,0
98492.99,0,0,0,3,1452,0
84975.06,0,0,1,4,1194,0
26376.28,0,0,0,7,1486,0
28697.28,0,0,0,3,123,0
68994.89,0,0,0,4,216,0
59751.95,0,0,0,4,300,0
61663.78,0,0,1,3,1002,0
28693.81,0,0,0,0,1091,0
22830.63,0,0,1,2,387,0
76084.6,0,1,0,4,451,1
22598.19,0,0,0,3,1420,0
61455.47,0,1,0,5,589,1
34362.36,0,0,1,5,470,1
17108.89,0,0,1,5,634,0
41558.28,0,0,3,3,12,0
78414.47,0,0,4,3,1045,1
22535.78,0,1,2,2,1282,0
41848.96,0,1,1,3,440,1
46538.99,0,0,0,5,1055,0
89420.54,1,0,1,2,1034,1
41268.45,0,1,1,5,1032,1
82480.17,0,0,1,6,680,1
78673.94,0,1,5,4,541,1
74467.48,1,0,2,7,1041,1
88648.23,1,1,1,4,695,1
16555.3,0,0,0,2,757,0
56971.21,1,1,0,2,254,1
62184.3,1,0,0,4,1101,1
32293.81,1,1,2,3,740,1
48294.12,0,0,1,2,889,0
88258.77,0,0,2,2,782,0
79599.09,0,0,1,1,503,0
44782.57,0,1,0,5,1046,1
92840.74,0,0,1,4,607,0
91470.18,0,0,0,3,800,0
44531.11,0,0,1,7,1362,1
61423.21,0,0,2,2,303,0
47050.85,1,0,1,6,684,1
94480.53,0,0,1,3,1332,0
14774.73,1,0,0,4,325,0
71974.05,1,0,0,1,1426,1
23068.85,0,0,3,4,547,1
43742.32,0,0,0,1,1013,0
45620.52,0,0,1,2,898,0
84261.45,0,1,0,3,1084,1
49615.83,0,0,0,1,890,0
1550.06,0,0,1,5,1320,0
53598.64,0,0,1,0,166,0
9472.81,0,0,1,5,163,0
49112.3,1,0,1,3,333,1
4561.66,0,0,1,7,429,0
41154.96,0,0,0,2,641,0
62891.55,0,0,1,1,673,1
51024.73,0,0,1,3,685,0
72914.16,1,0,1,1,643,0
91385.12,1,1,0,5,55,1
3376.71,0,1,2,5,1487,0
61587.55,1,0,0,3,1288,0
65512.1,0,0,0,1,1360,0
29309.86,0,0,0,2,279,0
75678.2,0,0,0,4,503,0
80346.01,0,0,0,2,1385,0
40667.61,1,0,2,2,959,0
77742.7,0,1,1,3,62,1
27211.68,0,0,1,5,133,1
55227.69,0,0,1,1,1467,0
82045.66,0,0,0,1,319,0
25070.9,0,0,1,1,1289,0
89307.16,0,0,1,2,1245,0
53277.21,1,0,0,5,836,1
96233.84,0,0,2,1,278,0
74056.28,0,1,3,1,992,1
26304.26,1,0,1,3,443,1
96385.38,0,0,0,4,191,0
78147.57,0,0,1,3,1058,0
40289.24,1,1,0,3,695,0
10906.12,1,0,1,4,491,1
9567.37,0,0,0,2,529,0
52064.01,0,1,1,2,728,1
68931.1,0,0,0,2,1370,0
12790.65,0,0,0,2,1276,0
36763.11,0,0,4,2,537,0
12667.65,0,0,0,3,800,0
90932.31,0,0,0,4,899,0
59128.11,1,0,2,5,1152,1
49819.03,0,1,0,4,1206,0
49525.95,0,1,1,0,785,1
2742.05,0,1,1,3,255,0
43751.79,1,0,2,3,137,1
24102.23,0,0,4,6,570,0
49548.78,0,0,0,1,339,0
70455.48,0,1,0,2,170,0
46299.44,1,0,1,3,373,0
4604.38,0,1,0,6,553,0
5263.4,0,1,0,3,166,0
86310.81,0,0,1,3,651,0
57592.55,0,0,0,5,1305,1
95628.97,1,1,1,1,1019,1
80740.38,0,0,2,3,492,0
44903.67,1,0,1,0,1276,1
16682.12,0,0,1,5,208,1
19988.32,0,0,2,1,1499,0
7274.28,0,0,1,3,449,0
67384.33,0,0,2,6,503,1
95336.68,0,0,2,0,784,0
17193.14,1,0,0,3,77,1
42009.42,0,0,0,1,378,0
81049.3,0,0,1,4,307,0
28135.49,1,0,1,3,1202,1
85733.58,0,0,1,2,844,0
15760.62,0,0,0,5,945,0
57739.03,0,0,0,4,1112,0
39865.68,0,1,1,2,382,1
